Audiobook name,Review Date,Rating,Transaction ID
Audiobook #1,7/02/18,10,4271210
Audiobook #7,7/02/18,10,4360030
Audiobook #1,7/02/18,7,4532810
Audiobook #3,7/02/18,9,2016630
Audiobook #8,7/02/18,10,1105280
Audiobook #5,7/02/18,10,5045750
Audiobook #2,7/02/18,10,5850220
Audiobook #1,7/02/18,10,1308810
Audiobook #3,7/02/18,10,1006610
Audiobook #8,7/02/18,10,1289280
Audiobook #3,7/02/18,10,3958030
Audiobook #6,7/02/18,10,1132560
Audiobook #2,7/02/18,10,1030120
Audiobook #1,7/02/18,8,1032110
Audiobook #1,7/02/18,10,1027610
Audiobook #3,7/02/18,8,1103730
Audiobook #9,7/02/18,10,1031090
Audiobook #1,7/02/18,9,1031210
Audiobook #6,7/02/18,10,1145160
Audiobook #6,7/02/18,10,1032760
Audiobook #1,7/02/18,10,1032510
Audiobook #4,7/02/18,10,4057130
Other,7/02/18,10,1069211
Audiobook #7,7/02/18,10,1073870
Audiobook #3,6/02/18,10,2244430
Audiobook #1,6/02/18,8,1127410
Audiobook #6,6/02/18,10,1040160
Audiobook #10,6/02/18,8,6320710
Audiobook #6,6/02/18,10,1629860
Audiobook #7,6/02/18,10,1228870
Audiobook #4,6/02/18,8,1037710
Audiobook #1,6/02/18,10,1893810
Audiobook #2,6/02/18,9,1801940
Other,6/02/18,10,1487911
Audiobook #1,6/02/18,6,1217910
Audiobook #2,6/02/18,8,1472980
Audiobook #2,6/02/18,10,5326410
Audiobook #3,6/02/18,8,1480630
Audiobook #4,6/02/18,8,1292940
Audiobook #1,6/02/18,8,1066610
Audiobook #1,6/02/18,9,1428910
Audiobook #1,6/02/18,10,1061710
Audiobook #3,6/02/18,10,1051430
Audiobook #2,6/02/18,9,6121020
Other,6/02/18,9,1758011
Audiobook #6,6/02/18,10,1052160
Audiobook #2,6/02/18,10,1047220
Audiobook #3,6/02/18,8,6556730
Audiobook #4,6/02/18,9,1086540
Audiobook #3,6/02/18,10,4951730
Audiobook #4,6/02/18,9,10354340
Audiobook #1,6/02/18,10,1051610
Audiobook #1,6/02/18,10,1049610
Audiobook #6,6/02/18,8,1074460
Audiobook #2,6/02/18,10,1068620
Audiobook #1,6/02/18,10,1094610
Audiobook #9,6/02/18,6,8801390
Audiobook #1,6/02/18,8,1155610
Audiobook #10,6/02/18,8,1065710
Audiobook #4,6/02/18,10,1356440
Audiobook #6,6/02/18,8,1155360
Audiobook #2,6/02/18,10,1052820
Audiobook #6,6/02/18,9,1069460
Audiobook #2,6/02/18,3,1302420
Audiobook #6,6/02/18,8,1157460
Audiobook #6,6/02/18,10,1054460
Audiobook #3,6/02/18,10,1059030
Audiobook #1,6/02/18,8,2231910
Audiobook #7,6/02/18,10,2088470
Audiobook #6,6/02/18,9,1055060
Audiobook #5,6/02/18,10,1079650
Audiobook #1,6/02/18,10,6129410
Audiobook #1,6/02/18,8,1097610
Audiobook #6,6/02/18,8,1056860
Audiobook #1,6/02/18,6,1058310
Audiobook #5,6/02/18,8,1980310
Audiobook #2,6/02/18,10,1145020
Audiobook #1,6/02/18,10,8205710
Audiobook #4,6/02/18,9,1082540
Other,6/02/18,8,9173430
Audiobook #2,6/02/18,10,1075820
Audiobook #6,5/02/18,10,1059860
Audiobook #1,5/02/18,6,1219510
Audiobook #1,5/02/18,10,1301110
Other,5/02/18,10,1061611
Audiobook #2,5/02/18,9,5787020
Audiobook #7,5/02/18,7,1406770
Audiobook #1,5/02/18,10,1063710
Audiobook #1,5/02/18,10,7222010
Other,5/02/18,9,1271111
Audiobook #7,5/02/18,10,1736470
Audiobook #7,5/02/18,8,1112070
Audiobook #4,5/02/18,9,1111240
Audiobook #8,5/02/18,9,1239480
Audiobook #10,5/02/18,10,1623610
Audiobook #9,5/02/18,9,1083690
Audiobook #2,5/02/18,10,2436720
Audiobook #2,5/02/18,9,6963820
Audiobook #1,5/02/18,9,1070310
Audiobook #2,5/02/18,10,1464820
Audiobook #9,5/02/18,8,5198060
Audiobook #9,5/02/18,10,1823990
Audiobook #6,5/02/18,10,1078960
Audiobook #7,5/02/18,8,1913370
Other,5/02/18,10,1097511
Audiobook #5,5/02/18,10,1101550
Audiobook #3,5/02/18,10,1209430
Audiobook #6,5/02/18,10,4076260
Audiobook #2,5/02/18,6,5372330
Audiobook #5,5/02/18,10,1073950
Audiobook #6,5/02/18,10,1151360
Audiobook #1,5/02/18,10,1903920
Other,5/02/18,9,1095411
Audiobook #6,5/02/18,10,1133460
Audiobook #3,5/02/18,8,3879110
Audiobook #6,5/02/18,9,1310860
Audiobook #1,5/02/18,10,1357610
Audiobook #7,5/02/18,10,1226270
Audiobook #4,5/02/18,8,10128240
Audiobook #2,5/02/18,8,1419020
Audiobook #6,5/02/18,6,1150260
Audiobook #2,5/02/18,10,1133620
Audiobook #1,5/02/18,8,1078510
Audiobook #2,5/02/18,10,1101920
Audiobook #1,5/02/18,10,10243510
Audiobook #9,5/02/18,10,1083390
Audiobook #1,5/02/18,9,2161010
Audiobook #6,5/02/18,10,1347160
Other,5/02/18,8,4072020
Audiobook #1,5/02/18,10,2197710
Audiobook #1,5/02/18,10,1409340
Audiobook #2,5/02/18,10,1215620
Audiobook #5,5/02/18,9,2441450
Audiobook #6,5/02/18,9,1423940
Audiobook #4,5/02/18,8,1374870
Audiobook #7,5/02/18,7,1111110
Audiobook #1,5/02/18,10,1084610
Audiobook #1,5/02/18,10,1085110
Audiobook #1,5/02/18,10,3988410
Audiobook #1,5/02/18,10,1138460
Audiobook #6,5/02/18,8,1085860
Audiobook #6,5/02/18,10,5898940
Audiobook #2,5/02/18,10,1293410
Audiobook #1,4/02/18,10,1523070
Audiobook #1,4/02/18,10,8562040
Audiobook #1,4/02/18,10,1935710
Audiobook #1,4/02/18,10,1236420
Audiobook #2,4/02/18,7,1112840
Audiobook #4,4/02/18,9,1130920
Audiobook #2,4/02/18,10,1260511
Other,4/02/18,8,1089230
Audiobook #3,4/02/18,10,2339770
Audiobook #7,4/02/18,9,1148720
Audiobook #2,4/02/18,10,1133560
Audiobook #6,4/02/18,9,6536640
Other,4/02/18,10,11025320
Audiobook #2,4/02/18,10,2498620
Audiobook #2,4/02/18,10,6759770
Audiobook #7,4/02/18,6,1091820
Audiobook #2,4/02/18,9,2183930
Audiobook #3,4/02/18,8,6444440
Audiobook #9,4/02/18,9,1092690
Audiobook #9,4/02/18,9,1254311
Audiobook #7,4/02/18,8,1333750
Audiobook #6,4/02/18,10,1346420
Audiobook #2,4/02/18,8,1618470
Audiobook #7,4/02/18,6,1099730
Audiobook #3,4/02/18,10,7548520
Audiobook #4,4/02/18,9,5078260
Audiobook #1,4/02/18,10,5835670
Audiobook #7,4/02/18,9,1290660
Audiobook #6,4/02/18,10,1105190
Audiobook #9,4/02/18,10,8858710
Audiobook #1,4/02/18,7,1118270
Audiobook #7,4/02/18,8,1300720
Audiobook #2,4/02/18,10,1315530
Audiobook #3,4/02/18,10,1131670
Audiobook #7,4/02/18,4,6737730
Audiobook #3,4/02/18,10,6316340
Audiobook #4,4/02/18,7,1102210
Audiobook #1,4/02/18,10,1167110
Audiobook #1,4/02/18,10,1100540
Audiobook #4,4/02/18,10,1136860
Audiobook #6,4/02/18,6,1770210
Other,4/02/18,8,1973110
Audiobook #1,4/02/18,9,1110560
Audiobook #6,4/02/18,10,1118410
Audiobook #1,4/02/18,9,1713820
Audiobook #2,4/02/18,7,8163410
Audiobook #10,4/02/18,9,1579620
Audiobook #2,4/02/18,10,1182910
Audiobook #1,4/02/18,10,1128340
Audiobook #3,4/02/18,10,1676730
Audiobook #3,4/02/18,7,1104120
Audiobook #2,4/02/18,9,9925010
Audiobook #1,4/02/18,10,8169110
Audiobook #1,4/02/18,6,2491811
Other,4/02/18,10,1362620
Audiobook #2,4/02/18,10,11268840
Audiobook #1,3/02/18,10,1318360
Audiobook #6,3/02/18,10,1505780
Audiobook #7,3/02/18,10,1187810
Audiobook #3,3/02/18,10,1108120
Audiobook #1,3/02/18,10,1160120
Audiobook #2,3/02/18,10,1130810
Audiobook #1,3/02/18,10,1853610
Audiobook #1,3/02/18,7,1108710
Audiobook #10,3/02/18,8,1112970
Audiobook #7,3/02/18,8,1264640
Audiobook #4,3/02/18,10,1866950
Audiobook #5,3/02/18,10,6324230
Audiobook #3,3/02/18,8,1109810
Audiobook #1,3/02/18,10,10620110
Audiobook #1,3/02/18,10,1174840
Audiobook #4,3/02/18,5,1644620
Audiobook #9,3/02/18,9,1148360
Audiobook #6,3/02/18,10,3903870
Other,3/02/18,6,1773560
Audiobook #2,3/02/18,10,1135560
Audiobook #6,3/02/18,10,1115511
Other,3/02/18,10,1295640
Audiobook #4,3/02/18,8,1056470
Audiobook #7,3/02/18,10,1989840
Audiobook #4,3/02/18,10,1245511
Other,3/02/18,9,1361650
Audiobook #1,3/02/18,8,1115320
Audiobook #2,3/02/18,8,1115070
Audiobook #7,3/02/18,10,1157670
Audiobook #7,3/02/18,8,1119220
Audiobook #2,3/02/18,10,1661750
Audiobook #5,3/02/18,10,2130820
Audiobook #2,3/02/18,10,1116260
Audiobook #6,3/02/18,10,9365430
Audiobook #2,3/02/18,9,1233710
Audiobook #1,3/02/18,10,5296530
Other,3/02/18,9,1612811
Audiobook #2,3/02/18,10,1295511
Other,3/02/18,5,1150160
Audiobook #6,3/02/18,10,5055050
Audiobook #5,3/02/18,10,1122111
Other,3/02/18,10,1117990
Audiobook #9,3/02/18,9,1129270
Audiobook #7,3/02/18,8,8780920
Audiobook #2,3/02/18,1,8569910
Audiobook #1,3/02/18,10,1436010
Audiobook #1,3/02/18,10,4438420
Other,3/02/18,10,1128511
Other,3/02/18,10,1300420
Audiobook #2,3/02/18,8,1276360
Audiobook #6,3/02/18,10,5788310
Audiobook #1,3/02/18,10,1120820
Audiobook #2,3/02/18,10,1120420
Audiobook #1,3/02/18,10,1127930
Audiobook #3,3/02/18,10,1606310
Audiobook #1,3/02/18,10,1550150
Audiobook #5,3/02/18,8,1264711
Other,3/02/18,8,1137830
Audiobook #3,3/02/18,10,1858720
Audiobook #2,2/02/18,10,4531360
Audiobook #2,2/02/18,10,1453670
Audiobook #6,2/02/18,6,1511420
Audiobook #7,2/02/18,6,1161440
Audiobook #2,2/02/18,10,3873111
Audiobook #4,2/02/18,10,1592460
Audiobook #2,2/02/18,10,1291710
Audiobook #7,2/02/18,7,2102610
Audiobook #1,2/02/18,8,1131360
Audiobook #2,2/02/18,9,1656840
Audiobook #6,2/02/18,9,1136330
Audiobook #4,2/02/18,10,1121920
Audiobook #3,2/02/18,9,1616411
Audiobook #1,2/02/18,8,1144940
Audiobook #8,2/02/18,10,1021610
Audiobook #2,2/02/18,7,1605110
Audiobook #4,2/02/18,10,1213220
Audiobook #2,2/02/18,10,1134030
Audiobook #1,2/02/18,10,2082510
Audiobook #2,2/02/18,9,4672610
Audiobook #3,2/02/18,9,1495510
Audiobook #2,2/02/18,10,1178740
Audiobook #1,2/02/18,10,1206250
Audiobook #1,2/02/18,10,1231320
Audiobook #4,2/02/18,9,1140610
Audiobook #5,2/02/18,8,1870310
Audiobook #2,2/02/18,10,4121220
Audiobook #1,2/02/18,7,1627540
Audiobook #1,2/02/18,10,1240120
Audiobook #2,2/02/18,10,1134160
Audiobook #4,2/02/18,10,2032470
Audiobook #2,2/02/18,10,4879570
Audiobook #6,2/02/18,9,4994211
Audiobook #7,2/02/18,10,1261010
Audiobook #7,2/02/18,8,1297980
Other,2/02/18,10,7451620
Audiobook #4,2/02/18,9,1189710
Audiobook #8,2/02/18,10,1405710
Audiobook #5,2/02/18,8,2412260
Audiobook #1,2/02/18,4,2493250
Audiobook #1,2/02/18,10,4897920
Audiobook #6,2/02/18,10,1591540
Audiobook #9,2/02/18,10,8946110
Audiobook #2,2/02/18,9,1140420
Audiobook #4,2/02/18,9,1145720
Audiobook #1,2/02/18,8,4774280
Audiobook #2,2/02/18,10,2101710
Audiobook #2,1/02/18,9,1710010
Audiobook #8,1/02/18,10,1542370
Audiobook #1,1/02/18,10,1147530
Audiobook #1,1/02/18,10,1199650
Audiobook #7,1/02/18,8,1150060
Audiobook #3,1/02/18,10,1263740
Audiobook #5,1/02/18,8,1659010
Audiobook #6,1/02/18,10,1190660
Audiobook #4,1/02/18,10,1596160
Audiobook #1,1/02/18,8,4739380
Audiobook #6,1/02/18,10,1151460
Audiobook #6,1/02/18,10,1151560
Audiobook #7,1/02/18,9,1163530
Audiobook #6,1/02/18,9,1152060
Audiobook #6,1/02/18,9,1536211
Audiobook #3,1/02/18,10,1186630
Audiobook #6,1/02/18,8,2243511
Audiobook #7,1/02/18,10,1153260
Audiobook #4,1/02/18,10,1413930
Other,1/02/18,8,1151820
Audiobook #6,1/02/18,10,1301940
Audiobook #3,1/02/18,10,4994110
Audiobook #2,1/02/18,10,1299880
Audiobook #4,1/02/18,10,1489620
Audiobook #1,1/02/18,6,4051330
Audiobook #8,1/02/18,6,1240810
Audiobook #2,1/02/18,10,1224620
Audiobook #8,1/02/18,8,1300620
Audiobook #1,1/02/18,7,1403250
Audiobook #2,1/02/18,10,1156320
Audiobook #1,1/02/18,10,2051620
Audiobook #5,1/02/18,10,1494210
Audiobook #2,1/02/18,4,1041340
Audiobook #2,1/02/18,7,4334980
Audiobook #1,1/02/18,5,1168620
Audiobook #1,1/02/18,7,5479310
Audiobook #8,1/02/18,9,4757940
Audiobook #2,1/02/18,8,1393210
Audiobook #10,1/02/18,10,1172320
Audiobook #1,1/02/18,10,4443920
Audiobook #1,1/02/18,10,11447310
Audiobook #1,1/02/18,10,1184420
Audiobook #2,1/02/18,8,1307570
Audiobook #7,1/02/18,10,2392110
Audiobook #2,1/02/18,10,4474270
Audiobook #7,1/02/18,9,8087630
Audiobook #1,1/02/18,8,1418310
Audiobook #7,31/01/18,8,1262410
Audiobook #2,31/01/18,9,1390410
Audiobook #1,31/01/18,10,1338010
Audiobook #10,31/01/18,9,1223930
Audiobook #10,31/01/18,10,4616530
Audiobook #1,31/01/18,10,1486340
Audiobook #3,31/01/18,10,2237860
Audiobook #3,31/01/18,10,1352160
Audiobook #4,31/01/18,10,1922210
Audiobook #6,31/01/18,10,1331120
Audiobook #6,31/01/18,10,1456270
Audiobook #1,31/01/18,10,1308020
Audiobook #2,31/01/18,9,1227120
Audiobook #7,31/01/18,10,1290510
Audiobook #2,31/01/18,10,1629620
Audiobook #2,31/01/18,8,1520010
Other,31/01/18,9,1230260
Audiobook #1,31/01/18,10,1249240
Audiobook #2,31/01/18,8,1235920
Audiobook #1,31/01/18,8,1309860
Audiobook #6,31/01/18,8,1357920
Audiobook #9,31/01/18,8,9275240
Audiobook #2,31/01/18,5,8964710
Audiobook #6,31/01/18,9,1298760
Audiobook #2,31/01/18,4,1301510
Audiobook #4,31/01/18,10,1362950
Audiobook #1,31/01/18,7,2383660
Audiobook #6,31/01/18,8,1896850
Audiobook #1,31/01/18,10,4204230
Audiobook #5,31/01/18,10,1281670
Audiobook #2,31/01/18,10,1242830
